417777,B009RB4GO4,A300N84W5T734Z,"ginackri ""ginackri""",0,0,5,1345852800,Wonderful decaffeinated alternative. Delicious and a Great value!,"I love this apple cider for a sweet treat without any sugar or guilt.<br />Wonderful in the fall or winter. Much better for me than a real caramel apple or pie.<br />It is a great decaffeinated alternative to tea or coffee and kids love it.<br />It is very sweet, but I use extra water for a larger cup.<br />I have also opened it up and used it to cook with.<br />The mix inside does not brew, just rehydrates, which allows me to use it at work without a Kurieg."
417778,B009RB4GO4,A2OQ775SI58DPN,"VRGirl ""Michelle H""",0,0,1,1345248000,Contains Nutrisweet!,"Warning -- this product contains nutrisweet, which I and may others are allergic to -- they don't say it on the amazon website so be careful!!!"
417779,B009RB4GO4,A2AV8N5KIC6SQ1,kcpenny,0,0,5,1344470400,Grove Square Cider Cups Keurig K-Cup,"Delicious apple flavor, low calorie drink. Love these for a ""cup at a time"" treat. No caffeine so great in the evenings!"
417780,B009RB4GO4,AB094YABX21WQ,J. Gregg,0,0,5,1343174400,ether you like it or you don't every one has different tastes,this cider tastes & smells pretty good but not the best I've ever had. its very sweet brewed on 8oz but still pretty good when brewed on 10oz is less sweet and a little watery but still tastes ok I like it. its hard to rate this because everyone has different tastes so its ether you like it or you don't. in the meantime I will be buying this again unless I find a better kind.
417781,B009RB4GO4,A3RQYPFPM58CKP,Norah Rice,0,0,4,1342915200,Sweet treat!,I really like cider so ordered this as a change and loved it!  Flavor allot strong than the cider...a sweet sugar free treat.  I will purchase again.
417782,B009RB4GO4,ASJKKI1EHIYWP,Michael J. Yadron,0,0,5,1342742400,Excellent Cider,"Grove Square Spiced Apple Cider Sugar Free is really excellent.  The taste is very good, even when making the largest cup possible, and there is no bad aftertaste.  The price is right as well."
417783,B009RB4GO4,A1FLSJ55U6ZADQ,jo.b,0,0,5,1341446400,Deliciuos,"Wow this stuff is delicious, very sweet-can't believe its sugar free!!I love to have a cup before bed when I get a sweet craving-way less calories than a slice of cake!"
417784,B009RB4GO4,A1GXIM3SAFFL4T,F. L. Chandler,0,0,4,1341446400,Obviously a matter of taste,Just had my first cup and I think it is tasty. Good but not outstanding.<br /><br />I have to think most of the one stars are people who just don't care for artificial sweetener or they are expecting Vermont quality fresh squeezed cider.<br /><br />It is a decent product if you have realistic expectation and are accustomed to artificial sweetener.
417785,B009RB4GO4,A21KWF3S9WU6S3,ronald salyers,0,0,5,1341014400,caramel apple cider,"i had every where for this item,then i decided to check on amazon.i found it and i ordered the product.great price and it arrived in a few days.great way to order any thing."
417786,B009RB4GO4,ARDC7Z3J9GOK3,sdon86,0,0,5,1340064000,delicious!,"It took me awhile to decide to order because of all the reviews, but I am so glad I did. This is one of my new favorites. I will definitely be keeping this one in stock!"
417787,B009RB4GO4,A35QRUSGHDD8ZR,Paradise,0,0,1,1339804800,Tastes very bad,"My kids and I tried it...had to throw the whole box away.  It is sickeningly sweet and gives you an aftertaste that you know the ""sugar"" is synthetic.  So so icky!"
